Popis,,"Stav zásoby","Cena bez DPH","Cena s DPH",,,Zkratka
"2,5-125                      FPM",,0,"111,8","135,28",,,"O kroužek Viton"
"2,5-135",,0,33,"39,93",,,"O kroužek Viton"
"2,5-14",,68,"1,4","1,69",,,"O kroužek NBR"
"2,5-14  MVQ",,70,"1,8","2,18",,,"O kroužek NBR"
"2,5-15,5",,78,"1,6","1,94",,,"O kroužek NBR"
"2,5-16",,1457,"1,6","1,94",,,"O kroužek NBR"
"2,5-17",,99,"1,8","2,18",,,"O kroužek NBR"
"2,5-17  MVQ",,40,"1,8","2,18",,,"O kroužek NBR"
"2,5-18",,178,"1,8","2,18",,,"O kroužek NBR"
"2,5-19  MVQ",,124,"1,9","2,3",,,"O kroužek NBR"
"2,5-20",,58,"1,85","2,24",,,"O kroužek NBR"
"2,5-21",,141,"1,8","2,18",,,"O kroužek NBR"
"2,5-22",,85,"2,5","3,03",,,"O kroužek NBR"
"2,5-22,5",,208,"2,5","3,03",,,"O kroužek NBR"
"2,5-23",,30,"2,55","3,09",,,"O kroužek NBR"
"2,5-24",,204,"2,55","3,09",,,"O kroužek NBR"
"2,5-25",,1667,"2,7","3,27",,,"O kroužek NBR"
"2,5-25   MVQ",,43,"2,5","3,03",,,"O kroužek NBR"
"2,5-26",,38,"4,4","5,32",,,"O kroužek NBR"
"2,5-27",,106,"2,6","3,15",,,"O kroužek NBR"
"2,5-32",,136,"7,3","8,83",,,"O kroužek NBR"
"2,5-35",,385,"3,04","3,68",,,"O kroužek"
"2,5-4",,167,"0,85","1,03",,,"O kroužek NBR"
"2,5-4  MVQ",,100,"0,85","1,03",,,"O kroužek NBR"
"2,5-41",,20,"2,9","3,51",,,"O kroužek NBR"
"2,5-43",,97,"4,15","5,02",,,"O kroužek"
"2,5-45",,939,"4,15","5,02",,,"O kroužek"
"2,5-5",,66,"1,4","1,69",,,"O kroužek NBR"
"2,5-50",,946,5,"6,05",,,"O kroužek"
"2,5-52",,146,"5,3","6,41",,,"O kroužek"
"2,5-55",,468,"5,3","6,41",,,"O kroužek"
"2,5-6",,315,"0,9","1,09",,,"O kroužek NBR"
"2,5-60",,161,"4,1","4,96",,,"O kroužek NBR"
"2,5-7",,139,"1,2","1,45",,,"O kroužek NBR"
"2,5-70",,95,9,"10,89",,,"O kroužek NBR"
"2,5-8",,134,"1,4","1,69",,,"O kroužek NBR"
"2,5-85",,38,"6,3","7,62",,,"O kroužek NBR"
"2,5-9",,234,"1,4","1,69",,,"O kroužek NBR"
"2,62-20,3",,0,"2,5","3,03",,,"O kroužek NBR"
"2,62-29,82",,265,"2,5","3,03",,,"O kroužek NBR"
"2,65-15",,12,"2,5","3,03",,,"O kroužek NBR"
"2,65-18          NBR 80",,120,"3,4","4,11",,,"O kroužek NBR"
"2,65-19",,189,"3,4","4,11",,,"O kroužek NBR"
"2,65-20",,81,"3,5","4,24",,,"O kroužek NBR"
"2,65-25              NBR 80",,40,"4,7","5,69",,,"O kroužek NBR"
"2,65-28",,110,3,"3,63",,,"O kroužek NBR"
"2,65-30",,47,"8,59","10,4",,,"O kroužek NBR"
"2,65-34,5",,8,"3,64","4,4",,,"O kroužek NBR"
2-10,,2650,"0,95","1,15",,,"O kroužek NBR"
2-10,,0,"1,3","1,57",,,"O kroužek NBR"
2-102,,24,16,"19,36",,,"O kroužek NBR"
2-105,,20,"18,18",22,,,"O kroužek NBR"
"2-106                     VÝROBA",,0,"34,9","42,23",,,"O kroužek NBR"
2-11,,190,"0,99","1,2",,,"O kroužek NBR"
2-110,,14,"9,9","11,98",,,"O kroužek NBR"
2-115,,8,"11,5","13,92",,,"O kroužek NBR"
2-118,,0,12,"14,52",,,"O kroužek NBR"
2-12,,2266,"0,83",1,,,"O kroužek NBR"
2-122,,5,11,"13,31",,,"O kroužek NBR"
2-125,,0,11,"13,31",,,"O kroužek NBR"
2-13,,43,"1,02","1,23",,,"O kroužek NBR"
"2-13  MVQ",,45,2,"2,42",,,"O kroužek NBR"
