Popis,,"Stav zásoby","Cena bez DPH","Cena s DPH",,,Zkratka
"5-20  MVQ",,105,15,"18,15",,,"O kroužek NBR"
5-200,,24,"29,7","35,94",,,"O kroužek NBR"
5-210,,0,"24,4","29,52",,,"O kroužek NBR"
5-220,,0,"25,2","30,49",,,"O kroužek NBR"
5-230,,31,"22,1","26,74",,,"O kroužek NBR"
5-240,,0,"27,6","33,4",,,"O kroužek NBR"
5-25,,0,"5,3","6,41",,,"O kroužek NBR"
"5-25   MVQ",,5,"7,9","9,56",,,"O kroužek MVQ"
5-250,,0,"28,9","34,97",,,"O kroužek NBR"
5-260,,0,"30,3","36,66",,,"O kroužek NBR"
5-275,,1,"34,5","41,75",,,"O kroužek NBR"
5-28,,87,"3,7","4,48",,,"O kroužek NBR"
5-30,,19,"5,45","6,6",,,"O kroužek NBR"
5-34,,1,"12,07","14,6",,,"O kroužek NBR"
5-38,,26,"5,78",7,,,"O kroužek NBR"
5-42,,37,"7,27","8,8",,,"O kroužek NBR"
5-44,,37,"7,27","8,8",,,"O kroužek NBR"
5-50,,66,"7,27","8,8",,,"O kroužek NBR"
5-55,,26,"7,27","8,8",,,"O kroužek NBR"
5-56,,8,"30,3","36,66",,,"O kroužek NBR"
5-60,,9,"23,6","28,56",,,"O kroužek NBR"
5-70,,178,"21,82","26,4",,,"O kroužek NBR"
5-75,,40,"15,29","18,5",,,"O kroužek NBR"
5-80,,1,"13,2","15,97",,,"O kroužek NBR"
5-85,,0,"11,57",14,,,"O kroužek NBR"
5-88,,8,"54,62","66,1",,,"O kroužek NBR"
5-95,,5,"15,2","18,39",,,"O kroužek NBR"
"6,5-15",,0,2,"2,42",,,"O kroužek NBR"
"6,99-183,52  EPDM 70",,0,"191,4","231,59",,,"O kroužek EPDM"
6-102,,8,"30,8","37,27",,,"O kroužek NBR"
6-125,,4,"30,8","37,27",,,"O kroužek NBR"
6-130,,10,"30,8","37,27",,,"O kroužek NBR"
6-16,,0,"3,4","4,11",,,"O kroužek NBR"
6-160,,4,"41,9","50,7",,,"O kroužek NBR"
6-205,,5,"47,68","57,7",,,"O kroužek NBR"
6-24,,15,"9,09",11,,,"O kroužek NBR"
6-28,,0,"14,4","17,42",,,"O kroužek NBR"
6-34,,0,"8,26",10,,,"O kroužek NBR"
6-36,,14,"8,26",10,,,"O kroužek NBR"
6-45,,4,"6,86","8,3",,,"O kroužek NBR"
6-50,,2,"9,1","11,01",,,"O kroužek NBR"
6-52,,7,"9,1","11,01",,,"O kroužek NBR"
6-64,,8,"25,62",31,,,"O kroužek NBR"
6-66,,10,"25,62",31,,,"O kroužek NBR"
6-72,,11,"25,62",31,,,"O kroužek NBR"
6-80,,16,"15,62","18,9",,,"O kroužek NBR"
6-86,,7,"16,61","20,1",,,"O kroužek NBR"
6-95,,18,"18,18",22,,,"O kroužek NBR"
7-125,,23,"21,8","26,38",,,"O kroužek NBR"
7-145,,0,"24,8","30,01",,,"O kroužek NBR"
7-160,,4,"42,1","50,94",,,"O kroužek NBR"
7-180,,17,"68,1","82,4",,,"O kroužek NBR"
7-190,,0,"116,9","141,45",,,"O kroužek NBR"
7-285,,3,"117,35",142,,,"O kroužek NBR"
8-130,,3,55,"66,55",,,"O kroužek NBR"
8-160,,0,"62,89","76,1",,,"O kroužek NBR"
8-29,,9,"8,35","10,1",,,"O kroužek NBR"
8-30,,0,"53,6","64,86",,,"O kroužek NBR"
8-80,,6,"26,7","32,31",,,"O kroužek NBR"
9-40,,7,"8,1","9,8",,,"O kroužek NBR"
??????????,,0,"7,9","9,56",,,"O kroužek NBR"
,,,,,,,
